headline,label
"Wow, a professor stopped me from dropping out years ago..",1
Anyone here else on fishbowl?,0
How is it February already lol,1
Anyone love doing ironic assignments,1
I want to drop out of online classes yet can’t,-1
"To those who studied abroad, did you go to where your ancestors are from? Did you gain a lot from that experience?",1
Taking an exam tomorrow and hoping to get a great score.,1
I wish you all well this year!,1
Is it too late to apply for college?,0
I'm so tired,-1
I got a 0 in a midterm group project because the person im working with plagiarized from Wikipedia,0
"Can't focus on the semester, falling behind in classes, assignments are overdue. How do I get back on track?",-1
Anyone else feeling extra burned out at the end of this semester?,1
What does a minor do for your career prospects?,1
Anyone else getting “freshman feels” again as a junior after online learning?,0
I really hate those of you that cheated on things that didn't need to be cheated on,-1
College prof thinks I cheated on a lab practical just because another student took the exam at a similar time as me and we apparently had our answers for the majority of the exam to be the same?,-1
To the people that went to a community college,0
This physics class is amazing!!,1
IDK how but I just finished 5 big assignments in the last 3 hours,-1
Fuck group work,-1
I want to take a gap year,0
My upcoming professor is [insert compliment here for good grade].,1
"Tall students, how do you avoid slouching while note taking? I need help desperately, please..",-1
I made presidents list !!!,0
'What day is our exam due?' - 'The 8th obviously',0
Simple Argumentative Essay Outline Example,-1
Is it normal to question your major almost every single day? Am I in the wrong major?,-1
"How to balance academics, health, and side projects for someone whose performance anxiety gets in the way and takes up a lot of time as it leads to procrastination?",-1
Finished College!,0
i chose the wrong college.,-1
I’m ✨𝓬𝓾𝓻𝓮𝓭✨,0
Just took my last final!,0
Big Final Tomorrow...,0
How to play videogames without feeling bad?,1
Is an undergraduate thesis required to graduate in your country?,0
Is it normal to do well in courses and exams yet still feel like an idiot who doesn’t know what they’re doing?,0
Probably the most ridiculous internship/volunteer opportunity I’ve ever seen. Saw on Handshake,0
Confession: I’m pretty much doing college so that I can put that I have a bachelor’s degree on my resume.,1
Never accept an unpaid full time internship,-1
Questionnaire,0
Stuck in the wrong major and scared,-1
How are you all so quick at making friends in online colleges?,1
Magna Cum Laude at 28,0
One of the worst things about online classes from home is having my dog wanting to play but not understanding you’re in the middle of an assignment.,-1
My dad fully funds me while I’m in school and people seem to have a major problem with it,-1
Ofc canvas goes down during finals week,0
the last few seconds of my prof’s lecture...,0
Does anyone else feel like the pandemic has stolen part of their youth?,-1
"so, so close",0
COVID has ruined college,-1
Academic integrity meeting,1
I got accepted into a prestigious therapy program.,1
Bruh Moment,0
Who else can't sleep till 5am,0
"Is it just me, or has college sucked away your soul and left you feeling like an empty master of crafting bullshit?",-1
My university is having in-person classes. What is the best mask that won't fog up glasses?,1
Feeling stressed as hell,-1
"A warning about Sage Corps, a potentially predatory internship company",-1
I’m going to get A’s on my next set of midterms,0
